,INDEX,会社名,職種,必要言語,実務経験,掲載日,資本金,売上,自社サービス開発,未経験可,URL
77,78,株式会社Hacobu,web系SE・PG（自社製品）,"Java,JavaScript",,2019/7/18,12億円,非公開,〇,×,https://www.geekly.co.jp/search/detail/436327
78,79,Sansan株式会社,web系SE・PG（自社製品）,Java,,2019/7/2,"62億3,400万円","102億6,000万円",〇,×,https://www.geekly.co.jp/search/detail/366
79,80,株式会社マクロミル,プロジェクトマネージャー（web系）,該当なし,,2019/7/3,"8億8,000万円","400億2,400万円",〇,×,https://www.geekly.co.jp/search/detail/496752
80,81,株式会社ジモティー,web系SE・PG（自社製品）,該当なし,,2019/7/25,"3,256万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/512369
81,82,株式会社サイバーエージェント,web系SE・PG（自社製品）,Go,,2019/9/3,72億332万円,"3,106億6,500万円",〇,×,https://www.geekly.co.jp/search/detail/534900
82,83,株式会社フリービットEPARKヘルスケア,web系SE・PG（自社製品）,"PHP,Java",✓,2019/8/15,"6億5,300万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/418168
83,84,弁護士ドットコム株式会社,web系SE・PG（自社製品）,"Ruby,PHP,Python,Java,JavaScript,Go",,2019/9/3,"4億3,600万円","313億2,000万円",〇,×,https://www.geekly.co.jp/search/detail/243065
84,85,株式会社パソナテキーラ,web系SE・PG（SI・受託）,"Ruby,PHP,Java,JavaScript,Go",,2019/7/22,1億円,非公開,〇,×,https://www.geekly.co.jp/search/detail/307068
85,86,株式会社フルスピード,web系SE・PG（自社製品）,"Ruby,Python,Java,Go",,2019/7/26,"8億9,800万円","180億6,500万円",〇,×,https://www.geekly.co.jp/search/detail/512893
86,87,弁護士ドットコム株式会社,web系SE・PG（自社製品）,"Ruby,PHP,Python,Java,JavaScript",,2019/6/4,"4億3,600万円","313億2,000万円",〇,×,https://www.geekly.co.jp/search/detail/243070
87,88,株式会社インタースペース,web系SE・PG（自社製品）,該当なし,✓,2019/7/31,"9億8,400万円","232億9,300万円",〇,×,https://www.geekly.co.jp/search/detail/515711
88,89,株式会社MyRefer,web系SE・PG（自社製品）,該当なし,,2019/9/2,"3億6,730万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/467840
89,90,株式会社葵,web系SE・PG（自社製品）,該当なし,,2019/3/5,"3億8,968万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/422528
90,91,and factory株式会社,web系SE・PG（自社製品）,"Ruby,PHP,Python,Java,JavaScript,Go",,2019/6/13,"5億4,300万円","19億1,600万円",〇,〇,https://www.geekly.co.jp/search/detail/440193
